timestamp,ik_time,plan_hover,plan_grasp,plan_lift,plan_place,exec_hover,exec_grasp,exec_lift,exec_place,pipeline_total
1766098575.3015125,0.0022106170654296875,0.02139735221862793,0.046423912048339844,0.036289215087890625,0,2.334106922149658,1.037140130996704,1.0372862815856934,0,6.887606559
1766100449.3181958,0.0023527145385742188,0.01871466636657715,0.03719663619995117,0.023739099502563477,0,2.3869452476501465,1.0343129634857178,1.0356934070587158,0,7.006863937
1766100973.0899608,0.0012617111206054688,0.028862476348876953,0.03608965873718262,0.02269768714904785,0,2.538789749145508,1.0863399505615234,1.0845792293548584,0,8.322946816
1766102263.4997923,0.002338886260986328,0.023631572723388672,0.041498422622680664,0.03579998016357422,0,3.0913002490997314,1.0857853889465332,1.083242416381836,0,9.594560864
1766102287.5049767,0.0011260509490966797,0.03378868103027344,0.04166865348815918,0.03443455696105957,0,3.085073471069336,1.0440747737884521,1.0423641204833984,0,11.005901717
1766102341.3287573,0.0021734237670898438,0.03184032440185547,0.03304600715637207,0.03453874588012695,0,7.988192558288574,1.041135549545288,1.0411686897277832,0,12.816296758
1766102390.196128,0.0036284923553466797,0.01983046531677246,0.025820016860961914,0.02256011962890625,0,2.0831613540649414,1.0915169715881348,1.088029384613037,0,7.383965936
1766102450.8194354,0.0021719932556152344,0.02752518653869629,0.046807050704956055,0.03512930870056152,0,2.9856550693511963,1.092097520828247,1.086282730102539,0,8.346993004
1766102468.3278213,0.0027518272399902344,0.02882838249206543,0.04017972946166992,0.023211002349853516,0,2.984619140625,1.0952386856079102,1.0896685123443604,0,8.340127785
1766102482.277983,0.0018987655639648438,0.02801513671875,0.04140138626098633,0.024487972259521484,0,2.9906558990478516,1.0940420627593994,1.09212064743042,0,8.361907932
1766102496.8073487,0.002122163772583008,0.02794671058654785,0.04770994186401367,0.034501075744628906,0,2.939819812774658,1.095607042312622,1.0969583988189697,0,8.319181533
1766102512.419041,0.00197601318359375,0.023552417755126953,0.039264678955078125,0.034967660903930664,0,3.039447546005249,1.0955486297607422,1.0875682830810547,0,8.366625289
1766115179.0589156,0.002148151397705078,0.02318429946899414,0.03757357597351074,0.03457927703857422,0,3.594024658203125,1.0359771251678467,1.0354254245758057,0,8.154760313
